id,name,macroarea,latitude,longitude,iso639p3code,countries,is_isolate,family_id,family,status_code,status_label
fasu1242,Fasu,Papunesia,-6.62687,143.284,faa,PG,True,,,3.0,shifting
wash1253,Washo,,38.8184,-119.64,was,US,True,,,4.0,moribund
taua1242,Tauade,,-8.3486,147.094,ttd,PG,True,,,1.0,not endangered
puel1244,Puelche,,-42.223,-68.666,pue,AR,True,,,6.0,extinct
tuxa1239,Tuxá,,-8.953642,-38.2742287,tud,BR,True,,,6.0,extinct
beto1236,Betoi-Jirara,South America,7.223906,-71.420238,,VE,True,,,6.0,extinct
else1239,Elseng,,-3.00176,140.418,mrf,ID,True,,,3.0,shifting
ando1256,Andoque,South America,-0.53751,-72.0869,ano,CO,True,,,5.0,nearly extinct
pyuu1245,Pyu,,-4.45003,141.018,pby,ID;PG,True,,,3.0,shifting
moch1259,Mochica,,-8.01667,-79.0,omc,PE,True,,,6.0,extinct
atak1252,Atakapa,North America,30.9121,-93.0827,aqp,US,True,,,6.0,extinct
kwaz1243,Kwaza,,-11.6667,-61.1833,xwa,BR,True,,,4.0,moribund
cams1241,Camsá,,1.14537,-76.8931,kbh,CO,True,,,3.0,shifting
dibi1240,Dibiyaso,,-7.82096,142.779,dby,PG,True,,,3.0,shifting
sech1236,Sechuran,South America,-5.568969,-80.828247,,PE,True,,,6.0,extinct
kuna1268,Kunama,Africa,14.5879,37.5292,kun,ER;ET;SD,True,,,1.0,not endangered
yetf1238,Yetfa,,-4.05884,140.653,yet,ID;PG,True,,,3.0,shifting
kung1259,Kungarakany,,-12.7,130.881,ggk,AU,True,,,6.0,extinct
cand1248,Candoshi-Shapra,South America,-4.23835,-76.9347,cbu,PE,True,,,2.0,threatened
buru1296,Burushaski,Eurasia,36.2161,74.8236,bsk,IN;PK,True,,,3.0,shifting
cofa1242,Cofán,South America,0.276675,-77.0643,con,CO;EC,True,,,2.0,threatened
lule1238,Lule,,-25.221839,-61.887818,ule,AR,True,,,6.0,extinct
sulk1246,Sulka,,-5.03471,151.891,sua,PG,True,,,3.0,shifting
mose1249,Mosetén-Chimané,South America,-14.64448,-67.83756,cas,BO,True,,,2.0,threatened
tiwi1244,Tiwi,,-11.6308,130.949,tiw,AU,True,,,3.0,shifting
cani1243,Canichana,,-14.3058,-64.944455,caz,BO,True,,,6.0,extinct
kena1236,Kenaboi,,3.154162,102.01596,xbn,MY,True,,,6.0,extinct
oyst1235,Oyster Bay-Big River-Little Swanport,,-42.307378,147.50061,xpd,AU,True,,,6.0,extinct
sume1241,Sumerian,,31.3,45.6667,sux,IQ,True,,,6.0,extinct
yura1255,Yuracaré,South America,-16.7479,-65.1224,yuz,BO,True,,,3.0,shifting
lavu1241,Lavukaleve,,-9.05569,159.119,lvk,SB,True,,,3.0,shifting
saus1247,Sause,,-3.16632,139.627,sao,ID,True,,,3.0,shifting
leco1242,Leco,,-15.0092,-67.8818,lec,BO,True,,,6.0,extinct
adai1235,Adai,,31.6314,-92.0059,xad,US,True,,,6.0,extinct
mara1266,Maratino,,24.339089,-98.576661,,MX,True,,,6.0,extinct
mpur1239,Mpur,Papunesia,-0.7489,133.166,akc,ID,True,,,3.0,shifting
guri1248,Muno,,-3.5718,141.597,grx,PG,True,,,3.0,shifting
coah1252,Coahuilteco,,28.2589,-97.89,xcw,MX,True,,,6.0,extinct
mink1237,Minkin,,-17.736653,139.541931,xxm,AU,True,,,6.0,extinct
cuit1236,Cuitlatec,,18.1,-100.5,cuy,MX,True,,,6.0,extinct
guac1239,Guachi,,-19.5572257,-57.5663223,,BR,True,,,6.0,extinct
kibi1239,Kibiri,Papunesia,-7.45276,144.296,prm,PG,True,,,3.0,shifting
arut1244,Arutani,South America,4.0673594,-62.8676118,atx,BR;VE,True,,,5.0,nearly extinct
alse1251,Alsea-Yaquina,North America,44.408,-123.94,aes,US,True,,,6.0,extinct
siam1242,Siamou,Africa,10.998,-4.92143,sif,BF;CI;ML,True,,,1.0,not endangered
laal1242,Laal,Africa,10.0063,17.6143,gdm,TD,True,,,3.0,shifting
kari1254,Kariri,South America,-7.434628,-40.487275,,BR,True,,,6.0,extinct
paya1236,Payagua,,-20.212233,-58.158622,,PY,True,,,6.0,extinct
savo1255,Savosavo,,-9.12853,159.814,svs,SB,True,,,3.0,shifting
mass1263,Massep,,-1.74679,138.294,mvs,ID,True,,,4.0,moribund
kaki1249,Kaki Ae,,-7.9946,145.816,tbd,PG,True,,,3.0,shifting
puin1248,Puinave,,3.92974,-67.6886,pui,CO;VE,True,,,3.0,shifting
take1257,Takelma,,42.423,-123.452,tkm,US,True,,,6.0,extinct
tall1235,Tallán,South America,-5.330824,-80.651093,,PE,True,,,6.0,extinct
sand1273,Sandawe,,-5.26918,35.4808,sad,TZ,True,,,2.0,threatened
yele1255,Yele,Papunesia,-11.3796,154.127,yle,PG,True,,,3.0,shifting
taus1253,Taushiro,,-3.22497,-75.5603,trr,PE,True,,,5.0,nearly extinct
dama1272,Damal,Papunesia,-4.17345,137.496,uhn,ID,True,,,3.0,shifting
touo1238,Touo,,-8.58405,157.296,tqu,PG;SB,True,,,3.0,shifting
bira1253,Ongota,,5.29807,37.025,bxe,ET,True,,,5.0,nearly extinct
mola1238,Molale,,44.556,-122.857,mbe,US,True,,,6.0,extinct
